19/10/2017 13:09:47	     4.191 MHz	 11.7 V/m	 -9.4 dBm	OK
19/10/2017 13:09:51	     4.233 MHz	 11.7 V/m	 -9.5 dBm	OK
19/10/2017 13:09:55	     4.275 MHz	 11.7 V/m	 -9.7 dBm	OK
19/10/2017 13:09:59	     4.318 MHz	 11.7 V/m	 -9.7 dBm	OK
19/10/2017 13:10:02	     4.361 MHz	 11.7 V/m	 -9.7 dBm	OK
19/10/2017 13:10:05	     4.404 MHz	 11.7 V/m	 -9.7 dBm	OK
19/10/2017 13:10:09	     4.448 MHz	 11.7 V/m	 -9.8 dBm	OK
19/10/2017 13:10:12	     4.493 MHz	 11.7 V/m	 -9.8 dBm	OK
19/10/2017 13:10:15	     4.538 MHz	 11.7 V/m	 -9.8 dBm	OK
19/10/2017 13:10:18	     4.583 MHz	 11.7 V/m	 -9.8 dBm	OK
19/10/2017 13:10:21	     4.629 MHz	 11.7 V/m	 -9.8 dBm	OK
19/10/2017 13:10:24	     4.675 MHz	 11.7 V/m	 -9.8 dBm	OK
19/10/2017 13:10:27	     4.722 MHz	 11.7 V/m	 -9.8 dBm	OK
19/10/2017 13:10:30	     4.769 MHz	 11.7 V/m	 -9.8 dBm	OK
19/10/2017 13:10:33	     4.817 MHz	 11.7 V/m	 -9.8 dBm	OK
19/10/2017 13:10:36	     4.865 MHz	 11.7 V/m	 -9.8 dBm	OK
19/10/2017 13:10:39	     4.914 MHz	 11.7 V/m	 -9.8 dBm	OK
19/10/2017 13:10:42	     4.963 MHz	 11.7 V/m	 -9.8 dBm	OK
19/10/2017 13:10:46	     5.000 MHz	 11.7 V/m	 -9.9 dBm	OK
