05/04/2018 13:57:46:	DIGO: 8

05/04/2018 13:57:47:	DIGO: 0

05/04/2018 13:57:48:	STAT

05/04/2018 13:57:48:	DIGO: 0

05/04/2018 13:57:52:	DIGO: 4

05/04/2018 13:57:53:	DIGO: 0

05/04/2018 13:57:57:	DIGO: 8

05/04/2018 13:57:59:	DIGO: 0

05/04/2018 13:58:00:	STAT

05/04/2018 13:58:00:	DIGO: 0

05/04/2018 13:58:04:	DIGO: 4

05/04/2018 13:58:05:	DIGO: 0

05/04/2018 13:58:09:	DIGO: 8

05/04/2018 13:58:11:	DIGO: 0

05/04/2018 13:58:12:	STAT

05/04/2018 13:58:12:	DIGO: 0

05/04/2018 13:58:16:	DIGO: 4

05/04/2018 13:58:17:	DIGO: 0

05/04/2018 13:58:21:	DIGO: 8

05/04/2018 13:58:23:	DIGO: 0

05/04/2018 13:58:24:	STAT

05/04/2018 13:58:24:	DIGO: 0

05/04/2018 13:58:28:	DIGO: 4

05/04/2018 13:58:29:	DIGO: 0

05/04/2018 13:58:34:	DIGO: 8

05/04/2018 13:58:35:	DIGO: 0

05/04/2018 13:58:36:	STAT

05/04/2018 13:58:36:	DIGO: 0

05/04/2018 13:58:40:	DIGO: 4

05/04/2018 13:58:41:	DIGO: 0

05/04/2018 13:58:46:	DIGO: 8

05/04/2018 13:58:47:	DIGO: 0

05/04/2018 13:58:48:	STAT

05/04/2018 13:58:48:	DIGO: 0

05/04/2018 13:58:52:	DIGO: 4

05/04/2018 13:58:53:	DIGO: 0

05/04/2018 13:58:58:	DIGO: 8

05/04/2018 13:58:59:	DIGO: 0

05/04/2018 13:59:00:	STAT

05/04/2018 13:59:00:	DIGO: 0

05/04/2018 13:59:04:	DIGO: 4

05/04/2018 13:59:05:	DIGO: 0

05/04/2018 13:59:10:	DIGO: 8

05/04/2018 13:59:11:	DIGO: 0

05/04/2018 13:59:12:	STAT

05/04/2018 13:59:12:	DIGO: 0

05/04/2018 13:59:16:	DIGO: 4

05/04/2018 13:59:17:	DIGO: 0

05/04/2018 13:59:21:	DIGO: 8

05/04/2018 13:59:23:	DIGO: 0

05/04/2018 13:59:24:	STAT

05/04/2018 13:59:24:	DIGO: 0

05/04/2018 13:59:28:	DIGO: 4

05/04/2018 13:59:29:	DIGO: 0

05/04/2018 13:59:33:	DIGO: 8

05/04/2018 13:59:35:	DIGO: 0

05/04/2018 13:59:36:	STAT

05/04/2018 13:59:36:	DIGO: 0

05/04/2018 13:59:40:	DIGO: 4

05/04/2018 13:59:41:	DIGO: 0

05/04/2018 13:59:46:	DIGO: 8

05/04/2018 13:59:47:	DIGO: 0

05/04/2018 13:59:48:	STAT

05/04/2018 13:59:48:	DIGO: 0

05/04/2018 13:59:52:	DIGO: 4

05/04/2018 13:59:53:	DIGO: 0

05/04/2018 13:59:58:	DIGO: 8

05/04/2018 13:59:59:	DIGO: 0

05/04/2018 14:00:00:	STAT

05/04/2018 14:00:00:	DIGO: 0

05/04/2018 14:00:04:	DIGO: 4

05/04/2018 14:00:05:	DIGO: 0

05/04/2018 14:00:10:	DIGO: 8

05/04/2018 14:00:12:	DIGO: 0

05/04/2018 14:00:16:	DIGO: 4

05/04/2018 14:00:17:	DIGO: 0

05/04/2018 14:00:22:	DIGO: 8

05/04/2018 14:00:23:	DIGO: 0

05/04/2018 14:00:24:	STAT

05/04/2018 14:00:25:	DIGO: 0

05/04/2018 14:00:30:	DIGO: 4

05/04/2018 14:00:31:	DIGO: 0

05/04/2018 14:00:35:	DIGO: 8

