13/07/2017 16:30:24	   163.244 MHz	  5.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21090	(0.67 V/m)	Digital: 0XFF
13/07/2017 16:30:28	   164.060 MHz	  4.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20574	(-0.15 V/m)	Digital: 0XFF
13/07/2017 16:30:32	   164.880 MHz	  4.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20019	(-1.06 V/m)	Digital: 0XFF
13/07/2017 16:30:37	   165.705 MHz	  4.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 19998	(-1.46 V/m)	Digital: 0XFF
13/07/2017 16:30:42	   166.533 MHz	  4.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20843	(-1.04 V/m)	Digital: 0XFF
13/07/2017 16:30:47	   167.366 MHz	  5.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21856	(-0.46 V/m)	Digital: 0XFF
13/07/2017 16:30:52	   168.203 MHz	  6.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22695	(-0.12 V/m)	Digital: 0XFF
13/07/2017 16:30:57	   169.044 MHz	  6.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23263	(-0.31 V/m)	Digital: 0XFF
13/07/2017 16:31:02	   169.889 MHz	  6.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23074	(-1.33 V/m)	Digital: 0XFF
13/07/2017 16:31:06	   170.738 MHz	  5.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22585	(-2.83 V/m)	Digital: 0XFF
13/07/2017 16:31:11	   171.592 MHz	  5.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22387	(-4.18 V/m)	Digital: 0XFF
13/07/2017 16:31:16	   172.450 MHz	  4.6 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21970	(-5.50 V/m)	Digital: 0XFF
13/07/2017 16:31:21	   173.312 MHz	  4.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21702	(-6.24 V/m)	Digital: 0XFF
13/07/2017 16:31:26	   174.179 MHz	  4.7 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22042	(-6.22 V/m)	Digital: 0XFF
13/07/2017 16:31:31	   175.050 MHz	  5.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22951	(-5.43 V/m)	Digital: 0XFF
13/07/2017 16:31:36	   175.925 MHz	  5.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23826	(-4.67 V/m)	Digital: 0XFF
13/07/2017 16:31:41	   176.805 MHz	  5.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23938	(-4.19 V/m)	Digital: 0XFF
13/07/2017 16:31:45	   177.689 MHz	  4.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23635	(-4.19 V/m)	Digital: 0XFF
13/07/2017 16:31:49	   178.577 MHz	  4.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23219	(-4.34 V/m)	Digital: 0XFF
13/07/2017 16:31:53	   179.470 MHz	  3.7 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23180	(-4.00 V/m)	Digital: 0XFF
13/07/2017 16:31:57	   180.367 MHz	  3.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22780	(-4.03 V/m)	Digital: 0XFF
13/07/2017 16:32:01	   181.269 MHz	  3.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22234	(-4.10 V/m)	Digital: 0XFF
13/07/2017 16:32:05	   182.176 MHz	  3.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22589	(-3.14 V/m)	Digital: 0XFF
13/07/2017 16:32:10	   183.086 MHz	  3.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23481	(-1.67 V/m)	Digital: 0XFF
13/07/2017 16:32:15	   184.002 MHz	  3.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 24177	(-0.51 V/m)	Digital: 0XFF
13/07/2017 16:32:20	   184.922 MHz	  3.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 24223	(0.03 V/m)	Digital: 0XFF
13/07/2017 16:32:24	   185.847 MHz	  3.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23873	(0.14 V/m)	Digital: 0XFF
13/07/2017 16:32:28	   186.776 MHz	  3.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23519	(0.25 V/m)	Digital: 0XFF
13/07/2017 16:32:32	   187.710 MHz	  2.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23408	(0.59 V/m)	Digital: 0XFF
13/07/2017 16:32:36	   188.648 MHz	  2.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22960	(0.36 V/m)	Digital: 0XFF
13/07/2017 16:32:40	   189.591 MHz	  2.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22852	(0.35 V/m)	Digital: 0XFF
